vOLE Recv: 104.066 seconds, 3225.6 MB
vOLE Recv: 104.183 seconds, 3225.6 MB
vOLE Recv: 104.244 seconds, 3225.6 MB
vOLE Recv: 104.297 seconds, 3225.6 MB
vOLE Recv: 104.582 seconds, 3225.6 MB
vOLE Recv: 104.754 seconds, 3225.6 MB
vOLE Recv: 104.804 seconds, 3225.6 MB
vOLE Recv: 104.869 seconds, 3225.6 MB
vOLE Recv: 104.876 seconds, 3225.6 MB
vOLE Recv: 105.269 seconds, 3225.6 MB
vOLE Recv: 105.367 seconds, 3225.6 MB
vOLE Recv: 105.783 seconds, 3225.6 MB
vOLE Recv: 106.035 seconds, 3225.6 MB
vOLE Recv: 105.983 seconds, 3225.6 MB
vOLE Recv: 106.05 seconds, 3225.6 MB

Server 0 Input Commitment DisHonest:
Total Time = 106.42 seconds
Receiving directly 129024 MB in 2522 rounds, taking 3616.91 seconds
Sending directly 0.00128 MB in 2 rounds, taking 0 seconds
